idnumber,materials,word,list1,list2,list3
104,1,baby,0,1,1
104,1,bee,0,1,1
104,1,doll,0,1,1
104,1,drum,0,1,1
104,1,duck,1,1,1
104,1,engineer,1,0,1
104,1,hat,1,1,1
104,1,journal,0,1,1
104,1,kite,0,0,0
104,1,minister,1,1,1
104,1,owl,1,1,1
104,1,purse,1,1,1
104,1,python,1,1,1
104,1,rake,1,1,1
104,1,slipper,1,0,0
104,1,soldier,1,1,0
104,1,spider,0,1,1
104,1,stove,1,0,1
104,1,tent,1,1,1
104,1,trout,1,0,1
104,1,turtle,1,1,0
104,1,violin,0,1,1
104,1,whistle,1,1,1
104,1,wolf,1,1,1
113,1,baby,1,0,0
113,1,bee,0,0,0
113,1,doll,1,1,1
113,1,drum,0,0,0
113,1,duck,1,1,1
113,1,engineer,1,0,0
113,1,hat,1,1,1
113,1,journal,0,0,0
113,1,kite,1,1,1
113,1,minister,1,1,1
113,1,owl,0,0,1
113,1,purse,1,1,0
113,1,python,0,0,0
113,1,rake,0,0,0
113,1,slipper,0,0,0
113,1,soldier,0,1,1
113,1,spider,0,1,0
113,1,stove,0,0,1
113,1,tent,0,0,1
113,1,trout,0,1,0
113,1,turtle,1,1,0
113,1,violin,0,1,1
113,1,whistle,0,1,0
113,1,wolf,0,0,0
119,1,baby,1,1,1
119,1,bee,0,0,1
119,1,doll,0,0,0
119,1,drum,0,0,0
119,1,duck,0,0,0
119,1,engineer,0,0,1
119,1,hat,0,0,0
119,1,journal,0,0,0
119,1,kite,0,1,0
119,1,minister,1,1,1
119,1,owl,0,0,0
119,1,purse,0,1,1
119,1,python,0,1,1
119,1,rake,0,0,1
119,1,slipper,0,0,0
119,1,soldier,0,0,0
119,1,spider,0,0,1
119,1,stove,0,0,0
119,1,tent,0,0,0
119,1,trout,0,0,0
119,1,turtle,1,1,1
119,1,violin,0,0,0
119,1,whistle,0,0,0
119,1,wolf,0,0,1
122,1,baby,0,1,1
122,1,bee,0,0,0
122,1,doll,1,0,1
122,1,drum,1,0,1
122,1,duck,1,1,1
122,1,engineer,1,1,1
122,1,hat,1,0,1
122,1,journal,0,1,1
122,1,kite,1,1,0
122,1,minister,1,1,1
122,1,owl,1,0,1
122,1,purse,1,0,1
122,1,python,1,0,1
122,1,rake,1,0,0
122,1,slipper,0,0,0
122,1,soldier,1,0,0
122,1,spider,1,0,1
122,1,stove,1,0,1
122,1,tent,1,1,1
122,1,trout,1,0,0
122,1,turtle,0,1,0
122,1,violin,1,0,1
122,1,whistle,0,0,1
122,1,wolf,1,1,1
128,1,baby,0,0,0
128,1,bee,0,0,0
128,1,doll,0,0,1
128,1,drum,0,1,1
128,1,duck,0,0,0
128,1,engineer,0,0,0
128,1,hat,0,0,0
128,1,journal,0,0,1
128,1,kite,1,0,0
128,1,minister,0,1,0
128,1,owl,0,0,0
128,1,purse,0,1,1
128,1,python,0,1,0
128,1,rake,0,0,0
128,1,slipper,1,0,0
128,1,soldier,0,0,0
128,1,spider,1,0,0
128,1,stove,0,0,0
128,1,tent,0,0,1
128,1,trout,0,0,0
128,1,turtle,1,0,0
128,1,violin,0,0,0
128,1,whistle,0,0,0
128,1,wolf,0,0,0
131,1,baby,0,0,1
131,1,bee,0,0,0
131,1,doll,0,1,1
131,1,drum,0,0,1
131,1,duck,0,0,1
131,1,engineer,0,1,0
131,1,hat,0,1,0
131,1,journal,0,0,0
131,1,kite,0,0,1
131,1,minister,0,0,1
131,1,owl,0,0,0
131,1,purse,0,1,1
131,1,python,0,0,0
131,1,rake,0,0,0
131,1,slipper,0,0,1
131,1,soldier,0,1,1
131,1,spider,0,0,1
131,1,stove,0,0,0
131,1,tent,0,0,0
131,1,trout,0,1,1
131,1,turtle,0,0,0
131,1,violin,0,0,1
131,1,whistle,0,0,0
131,1,wolf,0,0,0
134,1,baby,0,0,0
134,1,bee,0,0,0
134,1,doll,1,1,1
134,1,drum,0,0,0
134,1,duck,0,0,1
134,1,engineer,0,1,1
134,1,hat,0,0,0
134,1,journal,1,0,1
134,1,kite,0,0,1
134,1,minister,0,0,0
134,1,owl,0,0,1
134,1,purse,0,0,0
134,1,python,0,1,0
134,1,rake,0,0,0
134,1,slipper,0,0,0
134,1,soldier,0,0,0
134,1,spider,0,0,1
134,1,stove,0,0,0
134,1,tent,0,0,0
134,1,trout,1,1,1
134,1,turtle,1,1,0
134,1,violin,0,0,0
134,1,whistle,0,0,0
134,1,wolf,0,0,0
140,1,baby,1,1,1
140,1,bee,1,1,1
140,1,doll,1,1,1
140,1,drum,0,0,1
140,1,duck,0,1,1
140,1,engineer,1,1,0
140,1,hat,1,0,1
140,1,journal,1,0,1
140,1,kite,1,1,1
140,1,minister,1,1,1
140,1,owl,1,1,1
140,1,purse,0,1,1
140,1,python,1,1,1
140,1,rake,1,1,0
140,1,slipper,0,0,0
